waiting_time,radiant_win,radiant_win_chance,radiant_mu,radiant_sigma,dire_mu,dire_sigma,account_id_1,account_id_2,account_id_3,account_id_4,account_id_5,account_id_6,account_id_7,account_id_8,account_id_9,account_id_10
28.5,True,0.5052568633224221,21.036894082600675,7.363094507564973,20.97011897278353,6.077570095131604,196570.0,106726.0,304045.0,210058.0,218978.0,40718.0,158975.0,124227.0,67795.0,208237.0
16.0,False,0.5037560632046427,22.301200086801657,5.6123005941322255,22.256862066046956,6.342639516473621,72600.0,241931.0,295620.0,272380.0,47770.0,155838.0,171340.0,19459.0,232962.0,160336.0
6.5,False,0.5027823446528634,24.684503900112006,6.592747367402892,24.64928614093743,6.80060032232347,218627.0,158438.0,316877.0,231093.0,59227.0,95541.0,208329.0,80328.0,30712.0,320816.0
11.0,False,0.5046542252034381,25.282347125115983,6.455446744645926,25.22418575011814,6.836510559136889,81790.0,39898.0,111387.0,102673.0,198381.0,43797.0,12949.0,241878.0,48607.0,201976.0
9.5,False,0.5014862487848644,23.696225989477576,6.277337751251364,23.67908478711613,5.065308133686802,146897.0,16897.0,116615.0,250953.0,232646.0,3558.0,108265.0,111764.0,59168.0,59281.0
36.5,True,0.5034657968343996,18.190057264760302,6.661378447188698,18.146616467398612,6.540601373762044,165576.0,297205.0,309595.0,185420.0,237611.0,213708.0,227330.0,147813.0,106747.0,313475.0
6.5,False,0.5047385039027283,23.788391715694736,6.830355044672444,23.728535096681167,6.332876280185506,37923.0,60044.0,257759.0,252577.0,242262.0,154038.0,283707.0,24928.0,326406.0,31820.0
15.5,True,0.5072058475203225,28.183950094320203,6.965815076094515,28.097317955938294,5.526240894260687,2674.0,163969.0,258687.0,16272.0,108701.0,212766.0,155030.0,175284.0,166914.0,18101.0
13.0,False,0.5027793908094873,24.351726327901055,7.431798270532169,24.316355949115255,6.1239768354986595,236051.0,183093.0,308544.0,142565.0,146835.0,282393.0,178378.0,24721.0,295995.0,33204.0
21.5,True,0.5054553377186157,28.93231328314191,7.412190975408566,28.864307623121093,5.617654656253298,24091.0,264759.0,216883.0,304722.0,249614.0,46093.0,276741.0,90859.0,124648.0,38905.0
8.0,False,0.5052387918994021,25.129490115272226,7.472488248528795,25.064524399533575,5.381367870254614,244961.0,58367.0,160153.0,60535.0,269906.0,80112.0,280090.0,29090.0,147498.0,81720.0
5.0,True,0.5027515530022176,23.275545959765267,7.478178216658081,23.239949794114164,6.296495144142012,170833.0,287225.0,121098.0,203026.0,33988.0,39465.0,111163.0,146354.0,278359.0,99489.0
10.0,False,0.5058924980577348,25.196781500898958,5.14156352148546,25.13385703560637,5.217628374580025,34755.0,17050.0,285935.0,160657.0,128278.0,44002.0,92743.0,47665.0,192367.0,188266.0
10.0,False,0.5031785684179548,24.899019919981292,6.218428803534607,24.85985678121971,6.6640843806471,30604.0,54722.0,235572.0,101082.0,136155.0,13160.0,38109.0,71485.0,176743.0,172354.0
8.0,False,0.5049403007225146,22.020635646998272,6.706887994451053,21.95873230588387,6.454417135645125,62430.0,253688.0,159857.0,295703.0,52061.0,218947.0,39102.0,115250.0,33590.0,4735.0
22.5,True,0.5044183592950864,20.256843727027423,6.458802075403856,20.20194622397841,6.541276726303422,286616.0,254261.0,206351.0,160958.0,125742.0,43991.0,106038.0,182677.0,117735.0,300294.0
7.5,False,0.5007489381776693,23.7601595650964,6.902370705274428,23.750246425508717,7.487639444750218,280838.0,234850.0,85405.0,75905.0,311688.0,311510.0,154720.0,217393.0,67449.0,203661.0
14.0,True,0.5060258498755588,28.247240174191354,6.768728746686364,28.174709857934463,5.566956349004787,226641.0,56998.0,275123.0,185235.0,259331.0,315684.0,59328.0,314220.0,7596.0,25205.0
14.0,False,0.5041519497412913,20.328611344387525,7.219028032221125,20.2745614932175,6.835760525711663,32430.0,313644.0,236799.0,222313.0,234276.0,298350.0,228861.0,94826.0,39088.0,34438.0
4.5,False,0.5044536798144854,25.566944938753707,6.876132155662838,25.508570368941733,7.293072277737076,235933.0,329290.0,237141.0,11373.0,17671.0,106426.0,183393.0,301881.0,97247.0,40154.0
12.5,False,0.504494554337065,26.866135279249367,7.319958370343905,26.80776180801817,6.661056313471319,61108.0,200242.0,194326.0,82218.0,326234.0,265902.0,189669.0,181629.0,152442.0,36777.0
6.5,False,0.5035157710192655,26.86309142582505,5.400599812300406,26.821175378745536,6.750177291561712,252155.0,223502.0,1809.0,48389.0,134721.0,64780.0,18013.0,160561.0,305238.0,52019.0
11.0,False,0.5024607751509849,24.811146010260238,6.141370736366142,24.77992093952161,7.073832027415472,271479.0,237213.0,207340.0,97018.0,219485.0,89390.0,112495.0,132753.0,125601.0,69183.0
11.0,False,0.503943580357343,28.95430404308756,6.729275645546526,28.905961803512476,5.929682890100491,130804.0,147444.0,177707.0,228821.0,219814.0,265825.0,321799.0,37899.0,48111.0,118513.0
15.5,True,0.503512348467853,29.635877482841053,5.898391600231436,29.595915740030385,5.452845560934574,56021.0,99799.0,308722.0,43141.0,80324.0,130269.0,78332.0,99885.0,219123.0,181744.0
4.5,True,0.5067342174265432,26.777311148839246,6.4284433375709895,26.69580940173278,5.979057918135432,132877.0,151592.0,192948.0,299347.0,112309.0,28635.0,174142.0,215112.0,130988.0,228671.0
4.5,True,0.5043208385590037,24.03825753416573,6.3035508184586035,23.982932464100124,7.413665771134857,86056.0,31241.0,78871.0,316132.0,177863.0,107914.0,190019.0,233499.0,282113.0,292850.0
7.0,True,0.50714638970615,26.353637812423855,4.92339452709969,26.269232395668,6.96757716087483,106422.0,78534.0,24776.0,25363.0,251294.0,292097.0,84878.0,244682.0,108859.0,93342.0
36.5,True,0.5035909181919418,30.88825932561223,6.154798422237849,30.84552829034525,6.134137398304669,49820.0,192044.0,63620.0,173695.0,234499.0,234144.0,310570.0,19863.0,84058.0,308408.0
13.5,True,0.5049465635436602,27.852274897980564,6.316475468880806,27.789954107667974,6.957957924517862,202758.0,208914.0,208111.0,46320.0,158535.0,313351.0,66215.0,214171.0,258214.0,92244.0
6.0,False,0.5052923151126028,25.04215147870627,5.145537610457043,24.982498260812427,6.003620398542296,179533.0,267818.0,40059.0,50498.0,169025.0,80816.0,161409.0,327711.0,12215.0,21965.0
11.5,False,0.505193984840912,26.779635180593573,5.680377007548611,26.720322473348283,5.4973267084411575,324850.0,173190.0,99644.0,187100.0,67445.0,71223.0,44714.0,59652.0,135892.0,79234.0
17.0,True,0.5030123991591182,28.59000831364846,6.209416311263397,28.55509257950738,5.589328622007115,119041.0,309541.0,296425.0,75135.0,97415.0,38226.0,198191.0,263104.0,23837.0,126016.0
